0 9.9900000000000002
0.5 6.0577256591632285
1 3.6732772934619264
1.5 2.2273980093919876
2 1.3506472547210175
2.5 0.81900405719738623
3 0.496626816040381
3.5 0.30114404470033607
4 0.18260740807661952
4.5 0.11072928743333645
5 0.067143908479057435
6 0.024688507948989781
7 0.0090778514172651335
8 0.0033378844328790006
9 0.0012273248343838304
10 0.00045128172631071469
11 0.00016593422604719251
12 6.10132557304636e-05
13 2.2434294982472316e-05
14 8.2489876230172657e-06
15 3.0331150079757635e-06
16 1.1152625112368323e-06
17 4.1007692280035903e-07
18 1.5078340831784772e-07
19 5.544236936984469e-08
20 2.0385905555753687e-08
21 7.4958042026636062e-09
22 2.7561729102983681e-09
23 1.0134321689943825e-09
24 3.7263437185494824e-10
25 1.3701595364346658e-10
26 5.0380139275333201e-11
27 1.852454671086394e-11
28 6.8113910715406777e-12
29 2.5045173333313005e-12
30 9.2089956472549348e-13
31 3.3861055662313608e-13
32 1.2450555244947662e-13
33 4.5780121994253753e-14
34 1.6833141402743723e-14
35 6.1894690783115475e-15
36 2.2758394618565124e-15
37 8.3681575763785308e-16
38 3.0769332545968539e-16
