0	2.1	2.1	1
1	3.6	2.1	1
2	5.1	2.1	1
3	6.6	2.1	1
4	8.1	2.1	1
5	9.6	2.1	1
6	11.1	2.1	1
7	12.6	2.1	1
8	14.1	2.1	1
9	15.6	2.1	1
10	17.1	2.1	1
11	18.6	2.1	1
12	20.1	2.1	1
13	21.6	2.1	1
14	23.1	2.1	1
15	24.6	2.1	1
16	26.1	2.1	1
17	27.6	2.1	1
18	29.1	2.1	1
19	30.6	2.1	1
20	32.1	2.1	1
21	33.6	2.1	1
22	35.1	2.1	1
23	36.6	2.1	1
24	38.1	2.1	1
25	39.6	2.1	1
26	2.1	3.6	1
27	3.6	3.6	1
28	5.1	3.6	1
29	6.6	3.6	1
30	8.1	3.6	1
31	9.6	3.6	1
32	11.1	3.6	1
33	12.6	3.6	1
34	14.1	3.6	1
35	15.6	3.6	1
36	17.1	3.6	1
37	18.6	3.6	1
38	20.1	3.6	1
39	21.6	3.6	1
40	23.1	3.6	1
41	24.6	3.6	1
42	26.1	3.6	1
43	27.6	3.6	1
44	29.1	3.6	1
45	30.6	3.6	1
46	32.1	3.6	1
47	33.6	3.6	1
48	35.1	3.6	1
49	36.6	3.6	1
50	38.1	3.6	1
51	39.6	3.6	1
52	2.1	5.1	1
53	3.6	5.1	1
54	5.1	5.1	1
55	6.6	5.1	1
56	8.1	5.1	1
57	9.6	5.1	1
58	11.1	5.1	1
59	12.6	5.1	1
60	14.1	5.1	1
61	15.6	5.1	1
62	17.1	5.1	1
63	18.6	5.1	1
64	20.1	5.1	1
65	21.6	5.1	1
66	23.1	5.1	1
67	24.6	5.1	1
68	26.1	5.1	1
69	27.6	5.1	1
70	29.1	5.1	1
71	30.6	5.1	1
72	32.1	5.1	1
73	33.6	5.1	1
74	35.1	5.1	1
75	36.6	5.1	1
76	38.1	5.1	1
77	39.6	5.1	1
78	2.1	6.6	1
79	3.6	6.6	1
80	5.1	6.6	1
81	6.6	6.6	1
82	8.1	6.6	1
83	9.6	6.6	1
84	11.1	6.6	1
85	12.6	6.6	1
86	14.1	6.6	1
87	15.6	6.6	1
88	17.1	6.6	1
89	18.6	6.6	1
90	20.1	6.6	1
91	21.6	6.6	1
92	23.1	6.6	1
93	24.6	6.6	1
94	26.1	6.6	1
95	27.6	6.6	1
96	29.1	6.6	1
97	30.6	6.6	1
98	32.1	6.6	1
99	33.6	6.6	1
100	35.1	6.6	1
101	36.6	6.6	1
102	38.1	6.6	1
103	39.6	6.6	1
104	2.1	8.1	1
105	3.6	8.1	1
106	5.1	8.1	1
107	6.6	8.1	1
108	8.1	8.1	1
109	9.6	8.1	1
110	11.1	8.1	1
111	12.6	8.1	1
112	14.1	8.1	1
113	15.6	8.1	1
114	17.1	8.1	1
115	18.6	8.1	1
116	20.1	8.1	1
117	21.6	8.1	1
118	23.1	8.1	1
119	24.6	8.1	1
120	26.1	8.1	1
121	27.6	8.1	1
122	29.1	8.1	1
123	30.6	8.1	1
124	32.1	8.1	1
125	33.6	8.1	1
126	35.1	8.1	1
127	36.6	8.1	1
128	38.1	8.1	1
129	39.6	8.1	1
130	2.1	9.6	1
131	3.6	9.6	1
132	5.1	9.6	1
133	6.6	9.6	1
134	8.1	9.6	1
135	9.6	9.6	1
136	11.1	9.6	1
137	12.6	9.6	1
138	14.1	9.6	1
139	15.6	9.6	1
140	17.1	9.6	1
141	18.6	9.6	1
142	20.1	9.6	1
143	21.6	9.6	1
144	23.1	9.6	1
145	24.6	9.6	1
146	26.1	9.6	1
147	27.6	9.6	1
148	29.1	9.6	1
149	30.6	9.6	1
150	32.1	9.6	1
151	33.6	9.6	1
152	35.1	9.6	1
153	36.6	9.6	1
154	38.1	9.6	1
155	39.6	9.6	1
156	2.1	11.1	1
157	3.6	11.1	1
158	5.1	11.1	1
159	6.6	11.1	1
160	8.1	11.1	1
161	9.6	11.1	1
162	11.1	11.1	1
163	12.6	11.1	1
164	14.1	11.1	1
165	15.6	11.1	1
166	17.1	11.1	1
167	18.6	11.1	1
168	20.1	11.1	1
169	21.6	11.1	1
170	23.1	11.1	1
171	24.6	11.1	1
172	26.1	11.1	1
173	27.6	11.1	1
174	29.1	11.1	1
175	30.6	11.1	1
176	32.1	11.1	1
177	33.6	11.1	1
178	35.1	11.1	1
179	36.6	11.1	1
180	38.1	11.1	1
181	39.6	11.1	1
182	2.1	12.6	1
183	3.6	12.6	1
184	5.1	12.6	1
185	6.6	12.6	1
186	8.1	12.6	1
187	9.6	12.6	1
188	11.1	12.6	1
189	12.6	12.6	1
190	14.1	12.6	1
191	15.6	12.6	1
192	17.1	12.6	1
193	18.6	12.6	1
194	20.1	12.6	1
195	21.6	12.6	1
196	23.1	12.6	1
197	24.6	12.6	1
