0	598.819	935.516	1534.33
5	586.204	947.837	1534.04
10	581.775	952.218	1533.99
15	607.748	926.361	1534.11
20	593.373	940.523	1533.9
25	573.703	960.521	1534.22
30	602.25	931.767	1534.02
35	606.137	928.002	1534.14
40	613.515	920.46	1533.98
45	596.49	937.69	1534.18
50	584.394	949.63	1534.02
0	598.819	935.516	1534.33
5	586.204	947.837	1534.04
10	581.775	952.218	1533.99
15	607.748	926.361	1534.11
20	593.373	940.523	1533.9
25	573.703	960.521	1534.22
30	602.25	931.767	1534.02
35	606.137	928.002	1534.14
40	613.515	920.46	1533.98
45	596.49	937.69	1534.18
50	584.394	949.63	1534.02
