0.02	0.999702	-0.019799
0.03	0.999408	-0.0294
0.04	0.99902	-0.0388061
0.05	0.99854	-0.0480202
0.06	0.997969	-0.0570452
0.07	0.99731	-0.065884
0.08	0.996565	-0.0745394
0.09	0.995735	-0.0830143
0.1	0.994822	-0.0913113
0.11	0.993827	-0.0994333
0.12	0.992754	-0.107383
0.13	0.991602	-0.115163
0.14	0.990374	-0.122776
0.15	0.989072	-0.130224
0.16	0.987697	-0.13751
0.17	0.986251	-0.144637
0.18	0.984734	-0.151607
0.19	0.98315	-0.158422
0.2	0.981499	-0.165085
0.21	0.979783	-0.171598
0.22	0.978004	-0.177964
0.23	0.976162	-0.184185
0.24	0.974259	-0.190263
0.25	0.972297	-0.1962
0.26	0.970277	-0.201999
0.27	0.968201	-0.207662
0.28	0.966069	-0.213191
0.29	0.963883	-0.218587
0.3	0.961644	-0.223855
0.31	0.959354	-0.228994
0.32	0.957014	-0.234008
0.33	0.954625	-0.238898
0.34	0.952189	-0.243666
0.35	0.949706	-0.248314
0.36	0.947177	-0.252845
0.37	0.944605	-0.25726
0.38	0.941989	-0.261561
0.39	0.939331	-0.26575
0.4	0.936633	-0.269828
0.41	0.933895	-0.273798
0.42	0.931119	-0.277661
0.43	0.928304	-0.281419
0.44	0.925454	-0.285073
0.45	0.922567	-0.288626
0.46	0.919647	-0.29208
0.47	0.916692	-0.295434
0.48	0.913705	-0.298693
0.49	0.910687	-0.301856
0.5	0.907638	-0.304926
0.51	0.904558	-0.307903
0.52	0.901451	-0.310791
0.53	0.898315	-0.31359
0.54	0.895152	-0.316301
0.55	0.891962	-0.318927
0.56	0.888748	-0.321468
0.57	0.885508	-0.323926
0.58	0.882245	-0.326302
0.59	0.878959	-0.328599
0.6	0.875651	-0.330816
0.61	0.872322	-0.332957
0.62	0.868972	-0.335021
0.63	0.865601	-0.33701
0.64	0.862212	-0.338926
0.65	0.858804	-0.340769
0.66	0.855379	-0.342542
0.67	0.851937	-0.344245
0.68	0.848478	-0.345879
0.69	0.845003	-0.347447
